約定日,受渡日,銘柄コード,銘柄名,市場名称,口座区分,取引区分,売買区分,信用区分,弁済期限,数量［株］,単価［円］,手数料［円］,税金等［円］,諸費用［円］,税区分,受渡金額［円］,建約定日,建単価［円］,建手数料［円］,建手数料消費税［円］,金利（支払）〔円〕,金利（受取）〔円〕,逆日歩／特別空売り料（支払）〔円〕,逆日歩（受取）〔円〕,貸株料,事務管理費〔円〕（税抜）,名義書換料〔円〕（税抜）
"2018/1/23","2018/1/26","2914","日本たばこ産業","東証","特定","現物","買付","-","-","100","3,644.0","250","20","0","-","364,670","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/1/25","2018/1/30","6503","三菱電機","東証","特定","現物","買付","-","-","100","2,050.0","250","20","0","-","205,270","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/2","2018/2/7","3401","帝人","東証","特定","現物","買付","-","-","100","2,443.0","250","20","0","-","244,570","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/7","2018/2/13","8411","みずほフィナンシャルＧ","東証","特定","現物","買付","-","-","100","204.3","50","4","0","-","20,484","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/8","2018/2/14","6467","ニチダイ","東証","特定","現物","買付","-","-","100","2,535.0","250","20","0","-","253,770","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/9","2018/2/15","6467","ニチダイ","東証","特定","現物","売付","-","-","100","2,630.0","250","20","0","源徴なし","262,730","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/13","2018/2/16","6467","ニチダイ","東証","特定","現物","買付","-","-","200","2,573.0","487","38","0","-","515,125","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/14","2018/2/19","6467","ニチダイ","東証","特定","現物","売付","-","-","200","2,625.0","487","38","0","源徴なし","524,475","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/15","2018/2/20","6467","ニチダイ","東証","特定","現物","買付","-","-","100","2,630.0","250","20","0","-","263,270","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/16","2018/2/21","5101","横浜ゴム","東証","特定","現物","買付","-","-","100","2,545.0","250","20","0","-","254,770","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/19","2018/2/22","5301","東海カーボン","東証","特定","現物","買付","-","-","100","1,834.0","105","8","0","-","183,513","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/20","2018/2/23","6467","ニチダイ","東証","特定","現物","買付","-","-","100","2,860.0","250","20","0","-","286,270","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/20","2018/2/23","6467","ニチダイ","東証","特定","現物","売付","-","-","100","2,854.0","250","20","0","源徴なし","285,130","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/21","2018/2/26","5301","東海カーボン","東証","特定","現物","売付","-","-","100","1,992.0","105","8","0","源徴なし","199,087","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/22","2018/2/27","5301","東海カーボン","東証","特定","現物","買付","-","-","200","1,975.0","250","20","0","-","395,270","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/22","2018/2/27","5301","東海カーボン","東証","特定","現物","買付","-","-","100","1,949.0","105","8","0","-","195,013","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/2/26","2018/3/1","6467","ニチダイ","東証","特定","現物","買付","-","-","100","2,570.0","250","20","0","-","257,270","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/2","2018/3/7","8411","みずほフィナンシャルＧ","東証","特定","現物","売付","-","-","100","195.5","50","4","0","源徴なし","19,496","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/5","2018/3/8","6467","ニチダイ","東証","特定","現物","買付","-","-","100","2,742.0","250","20","0","-","274,470","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/6","2018/3/9","5301","東海カーボン","東証","特定","現物","買付","-","-","200","1,786.0","250","20","0","-","357,470","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/7","2018/3/12","5301","東海カーボン","東証","特定","現物","買付","-","-","100","1,697.0","105","8","0","-","169,813","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/8","2018/3/13","4875","メディシノバ・インク","東証","特定","現物","買付","-","-","200","1,366.0","250","20","0","-","273,470","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/8","2018/3/13","6467","ニチダイ","東証","特定","現物","売付","-","-","300","2,909.0","487","38","0","源徴なし","872,175","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/9","2018/3/14","6467","ニチダイ","東証","特定","現物","買付","-","-","200","3,045.0","487","38","0","-","609,525","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/12","2018/3/15","5101","横浜ゴム","東証","特定","現物","売付","-","-","100","2,547.0","250","20","0","源徴なし","254,430","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/12","2018/3/15","6467","ニチダイ","東証","特定","現物","売付","-","-","100","3,465.0","250","20","0","源徴なし","346,230","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/14","2018/3/19","6467","ニチダイ","東証","特定","信用新規","買建","制度","6ヶ月","300","3,765.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/14","2018/3/19","6467","ニチダイ","東証","特定","現物","売付","-","-","100","3,665.0","250","20","0","源徴なし","366,230","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/16","2018/3/22","5301","東海カーボン","東証","特定","現物","買付","-","-","100","1,684.0","105","8","0","-","168,513","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/16","2018/3/22","6467","ニチダイ","東証","特定","現物","買付","-","-","100","3,845.0","250","20","0","-","384,770","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/19","2018/3/23","4875","メディシノバ・インク","東証","特定","現物","売付","-","-","200","1,373.0","250","20","0","源徴なし","274,330","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/19","2018/3/23","6467","ニチダイ","東証","特定","現物","買付","-","-","100","3,700.0","250","20","0","-","370,270","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/26","2018/3/29","6467","ニチダイ","東証","特定","信用返済","売埋","制度","6ヶ月","300","2,660.0","350","28","953","源徴なし","-333,209","2018/3/14","3,765.0","350","28","953","0","0","0","0","0","0"
"2018/3/27","2018/3/30","4004","昭和電工","東証","特定","信用新規","売建","制度","6ヶ月","200","4,465.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/28","2018/4/2","6467","ニチダイ","東証","特定","現物","売付","-","-","200","1,652.0","250","20","0","源徴なし","330,130","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/29","2018/4/3","4004","昭和電工","東証","特定","信用返済","買埋","制度","6ヶ月","200","4,460.0","350","28","134","源徴なし","110","2018/3/27","4,465.0","350","28","0","0","0","0","134","0","0"
"2018/3/29","2018/4/3","4004","昭和電工","東証","特定","信用新規","売建","制度","6ヶ月","300","4,365.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/3/30","2018/4/4","4004","昭和電工","東証","特定","信用返済","買埋","制度","6ヶ月","300","4,435.0","350","28","78","源徴なし","-21,834","2018/3/29","4,365.0","350","28","0","0","0","0","78","0","0"
"2018/4/5","2018/4/10","5301","東海カーボン","Chi-X","特定","現物","売付","-","-","200","1,399.0","139","10","0","源徴なし","279,651","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/4/5","2018/4/10","5301","東海カーボン","東証","特定","現物","売付","-","-","500","1,399.0","348","28","0","源徴なし","699,124","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/4/10","2018/4/13","1711","省電舎ホールディングス","東証","特定","現物","買付","-","-","100","1,449.0","105","8","0","-","145,013","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/4/11","2018/4/16","1711","省電舎ホールディングス","東証","特定","信用新規","買建","制度","6ヶ月","200","1,435.0","180","14","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/4/11","2018/4/16","1711","省電舎ホールディングス","東証","特定","信用返済","売埋","制度","6ヶ月","200","1,420.0","180","14","22","源徴なし","-3,410","2018/4/11","1,435.0","180","14","22","0","0","0","0","0","0"
"2018/4/11","2018/4/16","1711","省電舎ホールディングス","東証","特定","現物","売付","-","-","100","1,416.0","105","8","0","源徴なし","141,487","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/4/12","2018/4/17","1711","省電舎ホールディングス","東証","特定","信用新規","買建","制度","6ヶ月","200","1,395.0","180","14","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/4/13","2018/4/18","1711","省電舎ホールディングス","東証","特定","信用返済","売埋","制度","6ヶ月","200","1,339.0","180","14","42","源徴なし","-11,630","2018/4/12","1,395.0","180","14","42","0","0","0","0","0","0"
"2018/4/13","2018/4/18","6506","安川電機","東証","特定","信用新規","買建","制度","6ヶ月","200","4,780.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/4/13","2018/4/18","6506","安川電機","東証","特定","信用返済","売埋","制度","6ヶ月","200","4,660.0","350","28","73","源徴なし","-24,829","2018/4/13","4,780.0","350","28","73","0","0","0","0","0","0"
"2018/4/16","2018/4/19","5541","大平洋金属","東証","特定","信用新規","買建","制度","6ヶ月","200","3,480.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/4/16","2018/4/19","5541","大平洋金属","東証","特定","信用新規","売建","制度","6ヶ月","200","3,485.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/4/16","2018/4/19","5541","大平洋金属","東証","特定","信用返済","売埋","制度","6ヶ月","200","3,475.0","350","28","53","源徴なし","-1,809","2018/4/16","3,480.0","350","28","53","0","0","0","0","0","0"
"2018/4/17","2018/4/20","5541","大平洋金属","東証","特定","信用新規","買建","制度","6ヶ月","200","3,500.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/4/18","2018/4/23","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","100","3,545.0","180","14","52","源徴なし","-6,435","2018/4/16","3,485.0","175","14","0","0","0","0","52","0","0"
"2018/4/20","2018/4/25","5541","大平洋金属","東証","特定","信用新規","買建","制度","6ヶ月","200","3,855.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/4/24","2018/4/27","5541","大平洋金属","東証","特定","信用返済","売埋","制度","6ヶ月","200","3,795.0","175","14","177","源徴なし","-12,744","2018/4/20","3,855.0","350","28","177","0","0","0","0","0","0"
"2018/4/24","2018/4/27","5541","大平洋金属","東証","特定","信用返済","売埋","制度","6ヶ月","200","3,795.0","175","14","429","源徴なし","58,004","2018/4/17","3,500.0","350","28","429","0","0","0","0","0","0"
"2018/4/25","2018/5/1","5541","大平洋金属","東証","特定","信用新規","買建","制度","6ヶ月","200","3,770.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/4/26","2018/5/2","5541","大平洋金属","東証","特定","信用新規","売建","制度","6ヶ月","100","3,780.0","180","14","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/4/26","2018/5/2","5541","大平洋金属","東証","特定","信用返済","売埋","制度","6ヶ月","200","3,710.0","350","28","115","源徴なし","-12,871","2018/4/25","3,770.0","350","28","115","0","0","0","0","0","0"
"2018/4/27","2018/5/7","5541","大平洋金属","東証","特定","現物","買付","-","-","100","3,780.0","250","20","0","-","378,270","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/4/27","2018/5/7","5541","大平洋金属","東証","特定","現物","売付","-","-","100","3,840.0","250","20","0","源徴なし","383,730","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/1","2018/5/8","5541","大平洋金属","東証","特定","信用新規","売建","制度","6ヶ月","200","3,800.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/1","2018/5/8","5541","大平洋金属","東証","特定","信用新規","売建","制度","6ヶ月","200","3,790.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/2","2018/5/9","2264","森永乳業","東証","特定","信用返済","買埋","制度","6ヶ月","100","4,665.0","180","14","13","源徴なし","-10,401","2018/5/2","4,565.0","180","14","0","0","0","0","13","0","0"
"2018/5/2","2018/5/9","2264","森永乳業","東証","特定","信用新規","売建","制度","6ヶ月","100","4,565.0","180","14","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/7","2018/5/10","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","100","3,710.0","58","5","102","源徴なし","6,641","2018/4/26","3,780.0","180","14","0","0","0","0","102","0","0"
"2018/5/7","2018/5/10","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","200","3,710.0","117","9","68","源徴なし","15,428","2018/5/1","3,790.0","350","28","0","0","0","0","68","0","0"
"2018/5/7","2018/5/10","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","200","3,710.0","116","9","68","源徴なし","17,429","2018/5/1","3,800.0","350","28","0","0","0","0","68","0","0"
"2018/5/7","2018/5/10","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","100","3,710.0","59","5","231","源徴なし","-22,984","2018/4/16","3,485.0","175","14","0","0","0","0","231","0","0"
"2018/5/8","2018/5/11","5541","大平洋金属","東証","特定","信用新規","売建","制度","6ヶ月","400","3,580.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/10","2018/5/15","5541","大平洋金属","東証","特定","信用新規","買建","制度","6ヶ月","400","3,630.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/11","2018/5/16","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","400","3,660.0","350","28","258","源徴なし","-33,014","2018/5/8","3,580.0","350","28","0","0","0","0","258","0","0"
"2018/5/11","2018/5/16","5541","大平洋金属","東証","特定","信用返済","売埋","制度","6ヶ月","400","3,585.0","350","28","222","源徴なし","-18,978","2018/5/10","3,630.0","350","28","222","0","0","0","0","0","0"
"2018/5/16","2018/5/21","6506","安川電機","東証","特定","信用新規","売建","制度","6ヶ月","100","4,530.0","180","14","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/17","2018/5/22","6506","安川電機","東証","特定","現物","買付","-","-","100","4,580.0","250","20","0","-","458,270","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/23","2018/5/28","2914","日本たばこ産業","東証","特定","現物","売付","-","-","100","2,949.5","250","20","0","源徴なし","294,680","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/23","2018/5/28","3401","帝人","東証","特定","現物","売付","-","-","100","2,176.0","250","20","0","源徴なし","217,330","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/23","2018/5/28","6503","三菱電機","東証","特定","現物","売付","-","-","100","1,626.5","105","8","0","源徴なし","162,537","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/23","2018/5/28","6506","安川電機","東証","特定","現物","売付","-","-","100","4,670.0","250","20","0","源徴なし","466,730","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/23","2018/5/28","6506","安川電機","東証","特定","信用新規","売建","制度","6ヶ月","200","4,670.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/24","2018/5/29","5541","大平洋金属","東証","特定","信用新規","売建","制度","6ヶ月","200","3,840.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/24","2018/5/29","6506","安川電機","東証","特定","信用新規","売建","制度","6ヶ月","100","4,430.0","180","14","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/25","2018/5/30","5541","大平洋金属","東証","特定","信用新規","売建","制度","6ヶ月","200","3,785.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/28","2018/5/31","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","200","3,710.0","175","14","45","源徴なし","14,388","2018/5/25","3,785.0","350","28","0","0","0","0","45","0","0"
"2018/5/28","2018/5/31","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","200","3,710.0","175","14","69","源徴なし","25,364","2018/5/24","3,840.0","350","28","0","0","0","0","69","0","0"
"2018/5/28","2018/5/31","6506","安川電機","東証","特定","信用返済","買埋","制度","6ヶ月","100","4,505.0","88","7","150","源徴なし","2,061","2018/5/16","4,530.0","180","14","0","0","0","0","150","0","0"
"2018/5/28","2018/5/31","6506","安川電機","東証","特定","信用返済","買埋","制度","6ヶ月","100","4,505.0","87","7","40","源徴なし","-7,828","2018/5/24","4,430.0","180","14","0","0","0","0","40","0","0"
"2018/5/28","2018/5/31","6506","安川電機","東証","特定","信用返済","買埋","制度","6ヶ月","200","4,505.0","175","14","112","源徴なし","32,321","2018/5/23","4,670.0","350","28","0","0","0","0","112","0","0"
"2018/5/29","2018/6/1","4208","宇部興産","東証","特定","信用新規","売建","制度","6ヶ月","400","3,330.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/29","2018/6/1","5541","大平洋金属","東証","特定","信用新規","売建","制度","6ヶ月","200","3,645.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/30","2018/6/4","4208","宇部興産","東証","特定","信用新規","売建","制度","6ヶ月","200","3,170.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/30","2018/6/4","5541","大平洋金属","東証","特定","信用新規","売建","制度","6ヶ月","200","3,585.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/5/31","2018/6/5","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","200","3,640.0","350","28","109","源徴なし","135","2018/5/29","3,645.0","350","28","0","0","0","0","109","0","0"
"2018/6/1","2018/6/6","4208","宇部興産","東証","特定","信用返済","買埋","制度","6ヶ月","200","3,080.0","233","18","57","源徴なし","17,314","2018/5/30","3,170.0","350","28","0","0","0","0","57","0","0"
"2018/6/1","2018/6/6","4208","宇部興産","東証","特定","信用返済","買埋","制度","6ヶ月","100","3,080.0","117","10","60","源徴なし","24,719","2018/5/29","3,330.0","87","7","0","0","0","0","60","0","0"
"2018/6/1","2018/6/6","4208","宇部興産","東証","特定","信用返済","買埋","制度","6ヶ月","300","3,080.0","350","28","180","源徴なし","74,158","2018/5/29","3,330.0","263","21","0","0","0","0","180","0","0"
"2018/6/1","2018/6/6","5541","大平洋金属","東証","特定","信用新規","買建","制度","6ヶ月","100","3,795.0","180","14","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/1","2018/6/6","5541","大平洋金属","東証","特定","信用新規","買建","制度","6ヶ月","200","3,670.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/4","2018/6/7","3457","ハウスドゥ","東証","特定","信用新規","売建","制度","6ヶ月","200","5,160.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/4","2018/6/7","4208","宇部興産","東証","特定","信用新規","売建","制度","6ヶ月","100","3,155.0","180","14","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/5","2018/6/8","3457","ハウスドゥ","東証","特定","信用新規","買建","制度","6ヶ月","200","5,130.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/5","2018/6/8","4208","宇部興産","東証","特定","信用新規","買建","制度","6ヶ月","100","3,170.0","180","14","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/5","2018/6/8","4208","宇部興産","東証","特定","信用新規","売建","制度","6ヶ月","100","3,165.0","180","14","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/6","2018/6/11","3457","ハウスドゥ","東証","特定","信用返済","売埋","制度","6ヶ月","200","4,820.0","350","28","254","源徴なし","-63,010","2018/6/5","5,130.0","350","28","314","0","0","60","0","0","0"
"2018/6/6","2018/6/11","4208","宇部興産","東証","特定","信用返済","売埋","制度","6ヶ月","100","3,145.0","180","14","97","源徴なし","-2,985","2018/6/5","3,170.0","180","14","97","0","0","0","0","0","0"
"2018/6/7","2018/6/12","2914","日本たばこ産業","東証","特定","現物","買付","-","-","200","3,002.0","487","38","0","-","600,925","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/7","2018/6/12","4208","宇部興産","東証","特定","信用新規","売建","制度","6ヶ月","100","3,185.0","180","14","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/7","2018/6/12","4208","宇部興産","東証","特定","信用新規","売建","制度","6ヶ月","200","3,185.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/8","2018/6/13","5541","大平洋金属","東証","特定","信用新規","買建","制度","6ヶ月","200","4,035.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/8","2018/6/13","5541","大平洋金属","東証","特定","信用返済","売埋","制度","6ヶ月","100","4,060.0","117","10","232","源徴なし","25,947","2018/6/1","3,795.0","180","14","232","0","0","0","0","0","0"
"2018/6/8","2018/6/13","5541","大平洋金属","東証","特定","信用返済","売埋","制度","6ヶ月","200","4,060.0","233","18","450","源徴なし","76,921","2018/6/1","3,670.0","350","28","450","0","0","0","0","0","0"
"2018/6/11","2018/6/14","5541","大平洋金属","東証","特定","信用返済","売埋","制度","6ヶ月","200","4,005.0","350","28","123","源徴なし","-6,879","2018/6/8","4,035.0","350","28","123","0","0","0","0","0","0"
"2018/6/11","2018/6/14","5541","大平洋金属","東証","特定","信用新規","売建","制度","6ヶ月","200","4,005.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/12","2018/6/15","4208","宇部興産","東証","特定","信用返済","買埋","制度","6ヶ月","100","3,205.0","70","6","38","源徴なし","-2,308","2018/6/7","3,185.0","180","14","0","0","0","0","38","0","0"
"2018/6/12","2018/6/15","4208","宇部興産","東証","特定","信用返済","買埋","制度","6ヶ月","100","3,205.0","70","5","76","源徴なし","-4,345","2018/6/5","3,165.0","180","14","0","0","0","0","76","0","0"
"2018/6/12","2018/6/15","4208","宇部興産","東証","特定","信用返済","買埋","制度","6ヶ月","200","3,205.0","140","11","76","源徴なし","-4,605","2018/6/7","3,185.0","350","28","0","0","0","0","76","0","0"
"2018/6/12","2018/6/15","4208","宇部興産","東証","特定","信用返済","買埋","制度","6ヶ月","100","3,205.0","70","6","85","源徴なし","-5,355","2018/6/4","3,155.0","180","14","0","0","0","0","85","0","0"
"2018/6/12","2018/6/15","5541","大平洋金属","東証","特定","信用新規","売建","制度","6ヶ月","200","3,960.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/14","2018/6/19","5541","大平洋金属","東証","特定","信用新規","売建","制度","6ヶ月","400","3,935.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/18","2018/6/21","2914","日本たばこ産業","東証","特定","現物","売付","-","-","200","3,180.0","487","38","0","源徴なし","635,475","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/18","2018/6/21","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","200","3,980.0","140","12","193","源徴なし","4,277","2018/6/11","4,005.0","350","28","0","0","0","0","193","0","0"
"2018/6/18","2018/6/21","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","200","3,980.0","140","11","167","源徴なし","-4,696","2018/6/12","3,960.0","350","28","0","0","0","0","167","0","0"
"2018/6/18","2018/6/21","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","100","3,980.0","70","5","35","源徴なし","-4,704","2018/6/14","3,935.0","87","7","0","0","0","0","35","0","0"
"2018/6/18","2018/6/21","5541","大平洋金属","東証","特定","信用新規","買建","制度","6ヶ月","200","3,980.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/18","2018/6/21","5541","大平洋金属","東証","特定","信用返済","売埋","制度","6ヶ月","200","3,935.0","350","28","61","源徴なし","-9,817","2018/6/18","3,980.0","350","28","61","0","0","0","0","0","0"
"2018/6/18","2018/6/21","5541","大平洋金属","東証","特定","信用新規","売建","制度","6ヶ月","500","3,925.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/20","2018/6/25","3457","ハウスドゥ","東証","特定","信用返済","買埋","制度","6ヶ月","200","5,110.0","350","28","950","源徴なし","8,294","2018/6/4","5,160.0","350","28","0","0","360","0","590","0","0"
"2018/6/20","2018/6/25","5541","大平洋金属","東証","特定","信用新規","買建","制度","6ヶ月","200","3,900.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/25","2018/6/28","2914","日本たばこ産業","東証","特定","信用新規","売建","制度","6ヶ月","200","3,211.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/25","2018/6/28","4208","宇部興産","東証","特定","信用新規","売建","制度","6ヶ月","200","2,840.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/25","2018/6/28","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","500","3,915.0","350","28","473","源徴なし","3,771","2018/6/18","3,925.0","350","28","0","0","0","0","473","0","0"
"2018/6/25","2018/6/28","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","300","3,910.0","350","28","355","源徴なし","6,483","2018/6/14","3,935.0","263","21","0","0","0","0","355","0","0"
"2018/6/25","2018/6/28","5541","大平洋金属","東証","特定","信用新規","売建","制度","6ヶ月","100","3,895.0","180","14","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/26","2018/6/29","2914","日本たばこ産業","東証","特定","信用返済","買埋","制度","6ヶ月","200","3,200.0","350","28","38","源徴なし","1,406","2018/6/25","3,211.0","350","28","0","0","0","0","38","0","0"
"2018/6/26","2018/6/29","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","100","3,935.0","117","10","23","源徴なし","-4,344","2018/6/25","3,895.0","180","14","0","0","0","0","23","0","0"
"2018/6/26","2018/6/29","5541","大平洋金属","東証","特定","信用返済","買埋","制度","6ヶ月","200","3,935.0","233","18","561","源徴なし","-71,190","2018/5/30","3,585.0","350","28","0","0","0","0","561","0","0"
"2018/6/26","2018/6/29","5541","大平洋金属","東証","特定","信用返済","売埋","制度","6ヶ月","200","3,935.0","350","28","299","源徴なし","5,945","2018/6/20","3,900.0","350","28","299","0","0","0","0","0","0"
"2018/6/27","2018/7/2","1803","清水建設","東証","特定","信用新規","買建","制度","6ヶ月","200","1,143.0","180","14","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/27","2018/7/2","7203","トヨタ自動車","東証","特定","信用新規","売建","制度","6ヶ月","200","7,039.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/29","2018/7/4","4208","宇部興産","東証","特定","信用新規","買建","制度","6ヶ月","200","2,879.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/6/29","2018/7/4","7203","トヨタ自動車","東証","特定","信用返済","買埋","制度","6ヶ月","100","7,170.0","350","28","63","源徴なし","-13,730","2018/6/27","7,039.0","175","14","0","0","0","0","63","0","0"
"2018/6/29","2018/7/4","7203","トヨタ自動車","東証","特定","信用新規","買建","制度","6ヶ月","100","7,170.0","350","28","0","-","-","-","0.0","0","0","0","0","0","0","0","0","0"
"2018/7/2","2018/7/5","1803","清水建設","東証","特定","信用返済","売埋","制度","6ヶ月","100","1,098.0","135","10","35","源徴なし","-4,777","2018/6/27","1,143.0","90","7","35","0","0","0","0","0","0"
